# name	foreign_files	total_files	top_upstream_owners -- from scripts/audit-deb-contents.py over the full pool, 2026-08-28
arpack-ng	19774	19918	ruby-ri,ruby,asciidoctor
faust	15781	17758	emscripten,emscripten-tests-third-party,imagemagick
cargo-leptos	5994	6015	cgal,cdk,cc65
gauche	5967	9524	erlang,erlang-doc,guile
libtsduck	4323	5332	libvxl,dcmtk,libwv
cfengine	3907	4065	cgal,cfm,dash
cookcli	2559	2570	postgresql,openldap,cppcheck
forgejo	2138	2212	faust,termux-api,faustlibraries
dart	2075	3115	crystal,debootstrap,dex2jar
cppi	2024	2039	postgresql
apkeep	1712	1738	apache2,appstream,argon2
difftastic	1690	1698	crystal
emscripten	1657	10538	espeak,gsl,imagemagick
librocksdb	1491	2826	libpoco,gstreamer,graphene
biome2	1265	1271	espeak,gsl,botan3
swiftshader	987	990	mercury
mercury	964	3948	gauche,scala,llbuild
libspatialite	924	2026	gst-plugins-base,librocksdb,gstreamer
dcmtk	809	2166	libwv,libwolfssl,libxcursor
crystal	762	2481	php,debootstrap,dex2jar
erlang	755	4904	gradle,mbedtls,groovy
libtd	726	832	libtorrent-rasterbar,libtiledb,libtvision
php	672	1028	crawl,csol,cronie
chicken	603	752	autoconf-archive,jsoncpp,dash
elixir	592	1315	autoconf-archive,dash
jsoncpp	591	608	autoconf-archive
caddy	545	548	calc,calcurse,calcurse-caldav
cccc	476	477	cc65
csview	374	380	php,php-fpm,php-pgsql
libnova	349	392	slang,libnl,libnl-cli
ccls	323	329	gpac
2ping	280	304	0verkill,2048-c,dash
libntl	278	409	libopencc,libopenfec,liboggz
fresh-editor	276	476	frei0r-plugins,frobtads,frp
6tunnel	272	274	0verkill
libpoco	261	1193	libretls,libyaml-cpp,libpinyin
corgi	255	259	openldap
findomain	239	570	imagemagick,emscripten-llvm,dash
gstreamer	229	386	librocksdb
atuin	221	225	aubio,avra,babl
libvxl	198	1727	libxmlrpc,libzxing-cpp,libxmlb
libopusenc	197	200	libosmium,dash
broot	196	201	botan3,bsd-finger,dash
c-toxcore	184	191	byobu,cabextract,dash
libprotobuf-c	175	183	libneon,dash
gdb	161	250	cfengine,chrony,ckermit
libnl	153	294	slang,libnftnl
postgresql	149	2217	cppcheck,cowsay,corrosion
agg	139	144	alembic,age,aha
btfs2	138	149	e2fsprogs,btrfs-progs,krb5
atool	131	147	asymptote
ecl	120	4426	chicken,cmake,cmake-curses-gui
tsduck-tools	120	202	dcmtk,wv-tools,libvisio
libspice-server	119	132	libt3highlight,libt3key,libspatialite
